SampleID,1,100,101,102,104,105,106,107,108,109,110,111,112,113,114,116,117,118,119,12,120,121,122,18,19,2,20,21,22,25,26,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,62,63,65,66,67,69,7,70,71,74,75,76,77,78,79,8,81,83,86,87,88,9,90,91,92,93,96,99,115,124,125,126,127,128,129,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,159,16,161,162,163,164,165,167,168,169,171,172,173,174,175,176,177,178,180,181,182,183,184,187,189,190,191,192,193,194,196,197,198,199,200,201,202,203,204,218,219,222,224,228,230,232,233,236,238,240,241,245,246,247,248,252,253,123,130,14,15,188,211,216,23,235,243,27,28,42,55,89
1,0,0.0336101,0.721059,0.0330794,0.723182,0.0346104,0.721587,0.0317059,0.720073,0.0321151,0.286353,0.286,0.0351949,0.721339,0.0309911,0.0325642,0.288293,0.285406,0.286864,0.035982,0.723887,0.28711,0.286264,0.0401052,0.0375105,0.0382895,0.0357877,0.0381158,0.0368995,0.72413,0.721008,0.719464,0.0403898,0.723076,0.718277,0.723086,0.721459,0.288133,0.0321962,0.284888,0.287685,0.286949,0.0385991,0.0374696,0.28462,0.28589,0.0297776,0.0385887,0.0366014,0.0365911,0.0373615,0.0369953,0.0376712,0.0363662,0.0378788,0.0375929,0.0378903,0.0393258,0.0373381,0.0365511,0.037679699999999997,0.0397658,0.716977,0.0361895,0.0406699,0.723902,0.721388,0.722337,0.720199,0.038739,0.721028,0.720906,0.722038,0.722503,0.721758,0.723276,0.722266,0.719858,0.0391304,0.722196,0.286686,0.0339432,0.287752,0.288513,0.0393258,0.0305807,0.0336394,0.285912,0.722875,0.0335265,0.720158,0.720958,0.156753,0.718873,0.285824,0.286774,0.0298714,0.721455,0.287107,0.286353,0.287641,0.288226,0.285213,0.285567,0.287386,0.28731,0.284184,0.720013,0.286096,0.286215,0.0337818,0.287257,0.0319912,0.28415,0.287224,0.287461,0.286227,0.0329152,0.721317,0.285273,0.288465,0.284759,0.72084,0.0332429,0.285516,0.0326646,0.0391513,0.286897,0.285992,0.285597,0.722126,0.300976,0.287731,0.199467,0.284713,0.28698,0.289804,0.28735,0.287376,0.287478,0.0390869,0.287635,0.0358831,0.0317644,0.0373387,0.0366176,0.0355423,0.0380901,0.0381284,0.0299145,0.0310959,0.0368058,0.283993,0.287425,0.28765,0.288339,0.286249,0.286905,0.286771,0.286833,0.288056,0.0389678,0.287292,0.0327432,0.0372029,0.723642,0.0370668,0.0360437,0.720899,0.721184,0.717592,0.723502,0.721091,0.0317629,0.037891,0.720993,0.722706,0.722823,0.722575,0.0357177,0.721701,0.722107,0.287775,0.71841,0.0386625,0.0389338,0.286082,0.0373708,0.0311672,0.719866,0.708977,0.71978,0.718548,0.720317,0.283949,0.0364204,0.720919
100,0.0336101,0,0.715495,0.0339321,0.718928,0.03612,0.717083,0.0337878,0.715791,0.032418,0.288258,0.286678,0.0359911,0.717292,0.0348387,0.0332338,0.289346,0.285553,0.287986,0.0329825,0.719365,0.28872,0.286182,0.0344083,0.0337723,0.0334626,0.0313653,0.03215,0.0331525,0.719877,0.716762,0.715572,0.0341615,0.718593,0.713654,0.718997,0.71635,0.288611,0.0318214,0.285998,0.287894,0.287731,0.0326686,0.031592,0.286688,0.286729,0.0326186,0.032485,0.0330706,0.0335257,0.0320256,0.0324727,0.0315476,0.0329868,0.0324617,0.0340116,0.032174,0.0339429,0.0329967,0.0331876,0.0331796,0.0326696,0.711462,0.0312157,0.0325968,0.718331,0.715342,0.717476,0.715891,0.0313564,0.716745,0.716183,0.718114,0.718406,0.71647,0.718649,0.717462,0.715072,0.0321161,0.717993,0.287677,0.0317334,0.288865,0.28932,0.0330603,0.0318399,0.03158,0.286138,0.718439,0.008543,0.714867,0.715417,0.161453,0.715048,0.288475,0.287177,0.0316891,0.716536,0.287109,0.28781,0.288361,0.288022,0.286399,0.286882,0.287982,0.287706,0.285671,0.716304,0.287769,0.287883,0.034163,0.288281,0.0325731,0.285562,0.287146,0.288308,0.286153,0.0340034,0.716379,0.287185,0.288418,0.285802,0.716447,0.0344431,0.28654,0.0339733,0.0338304,0.287739,0.286312,0.285795,0.717557,0.300704,0.287799,0.198767,0.285971,0.287849,0.290393,0.288442,0.287503,0.289035,0.0341125,0.287353,0.0327713,0.0330321,0.0322725,0.0329637,0.0339279,0.0329613,0.0330886,0.0320648,0.0328017,0.0317032,0.284926,0.288033,0.289029,0.289696,0.287033,0.287814,0.288364,0.28745,0.289363,0.0337899,0.287657,0.0330583,0.0320379,0.719198,0.0327313,0.0319341,0.715835,0.717021,0.713715,0.718806,0.716892,0.0308292,0.0331969,0.716797,0.717055,0.718128,0.718226,0.0323806,0.717275,0.716757,0.288197,0.713688,0.0337096,0.0324609,0.286242,0.0331929,0.0312564,0.715776,0.704965,0.71452,0.712921,0.716338,0.284329,0.0323727,0.717013
101,0.721059,0.715495,0,0.719254,0.0338893,0.710771,0.0331995,0.717645,0.0339773,0.715874,0.730837,0.731947,0.712621,0.0336545,0.716302,0.714506,0.729093,0.732811,0.730372,0.722354,0.0341545,0.732117,0.733439,0.721941,0.720423,0.721767,0.722738,0.721967,0.72299,0.0352886,0.033951,0.0378009,0.722512,0.0314982,0.0344665,0.0331211,0.0328012,0.731311,0.714822,0.730911,0.732571,0.73109,0.720216,0.719166,0.730351,0.731318,0.715169,0.720367,0.724533,0.723527,0.722999,0.721279,0.721671,0.719686,0.720778,0.720518,0.719239,0.724255,0.719325,0.723848,0.71854,0.720644,0.0196226,0.722283,0.723309,0.0339676,0.033472,0.0357862,0.0326815,0.721189,0.034865,0.0345198,0.0342934,0.0350161,0.0339436,0.0326394,0.0330922,0.0343721,0.722792,0.0344111,0.728571,0.715779,0.729173,0.733174,0.721985,0.715872,0.715566,0.730647,0.0356186,0.715819,0.0351146,0.0385027,0.713438,0.0342375,0.732316,0.732262,0.715458,0.0342457,0.732658,0.728976,0.733069,0.73319,0.732197,0.731933,0.733376,0.728635,0.730286,0.0357523,0.731973,0.728245,0.716014,0.727632,0.717883,0.731183,0.732302,0.732486,0.731649,0.718862,0.0348853,0.732117,0.731783,0.732639,0.0332843,0.717682,0.734888,0.718127,0.721622,0.728396,0.732428,0.733344,0.0335771,0.680428,0.730948,0.73393,0.727998,0.730677,0.731811,0.729207,0.73072,0.732106,0.721959,0.730992,0.721828,0.716686,0.721576,0.717464,0.719661,0.720053,0.720637,0.716702,0.716291,0.719073,0.730732,0.728875,0.734105,0.732558,0.730133,0.729675,0.729721,0.730304,0.731723,0.721002,0.730257,0.714917,0.722468,0.0330506,0.721584,0.722257,0.0347709,0.0324186,0.038503,0.0347371,0.0317343,0.715448,0.72303,0.0342549,0.032619,0.0335366,0.0342346,0.721002,0.0329693,0.0365013,0.727686,0.032221,0.721662,0.719875,0.730496,0.719444,0.715436,0.032576,0.0461348,0.0358406,0.0347922,0.0334818,0.730469,0.7235,0.0336422
102,0.0330794,0.0339321,0.719254,0,0.721733,0.0353965,0.720134,0.0323107,0.717861,0.0316519,0.288411,0.28734,0.0119343,0.720078,0.0322307,0.0322565,0.291523,0.288469,0.289172,0.0322969,0.722385,0.290354,0.28806,0.0321882,0.0334669,0.0310163,0.0315032,0.032983,0.0334308,0.722915,0.719068,0.718283,0.0331489,0.721508,0.716921,0.72171,0.720065,0.290947,0.0321862,0.287935,0.290242,0.290558,0.0326481,0.0320647,0.288155,0.288442,0.0324669,0.0328263,0.0308784,0.0326455,0.0317835,0.0318513,0.0325264,0.033089,0.0304495,0.031478,0.0317085,0.0344244,0.0340669,0.0305073,0.0317739,0.0329218,0.714582,0.0319896,0.0334801,0.721449,0.719324,0.719457,0.718355,0.0320088,0.719183,0.719008,0.719105,0.71972,0.719394,0.721168,0.72012,0.718365,0.0328313,0.720709,0.290091,0.0345206,0.290389,0.291355,0.0312907,0.0314487,0.0339439,0.287449,0.721193,0.0336562,0.717972,0.717894,0.159323,0.717797,0.289282,0.289227,0.0312099,0.720186,0.289571,0.289027,0.290099,0.290409,0.287543,0.28776,0.28995,0.289376,0.286796,0.718424,0.288298,0.28789,0.0333267,0.29044,0.0324443,0.286714,0.289147,0.289717,0.2886,0.0290048,0.718821,0.287768,0.29092,0.287627,0.719576,0.0281216,0.287941,0.0292185,0.0348721,0.288951,0.288705,0.288116,0.721053,0.30329,0.289857,0.201922,0.287904,0.290491,0.292248,0.289874,0.28925,0.290758,0.034224,0.290214,0.0316411,0.0315465,0.0328424,0.0337365,0.0325858,0.0329078,0.0334859,0.0310258,0.030567,0.0308642,0.286475,0.290952,0.289631,0.291411,0.288871,0.289253,0.28989,0.2897,0.291258,0.0328207,0.288377,0.0339821,0.0328205,0.722041,0.0333233,0.0318099,0.719189,0.719127,0.715829,0.720923,0.719785,0.0323547,0.0321193,0.720418,0.720571,0.720285,0.720065,0.0312155,0.721406,0.719576,0.290136,0.717341,0.0334654,0.0344109,0.287404,0.0325705,0.0325033,0.718225,0.707444,0.717787,0.716603,0.718351,0.287183,0.0321834,0.719498
104,0.723182,0.718928,0.0338893,0.721733,0,0.712958,0.0327891,0.719621,0.0297878,0.718775,0.732082,0.733804,0.715643,0.0348076,0.719196,0.716713,0.730441,0.734005,0.731061,0.724059,0.0351088,0.733607,0.735131,0.724676,0.723522,0.724507,0.725512,0.724406,0.725814,0.0338507,0.0327481,0.0354246,0.724917,0.0339427,0.0315655,0.034254,0.0333959,0.732538,0.717004,0.732309,0.733675,0.733028,0.723017,0.721624,0.731937,0.732804,0.717798,0.723074,0.726238,0.726336,0.724332,0.72429,0.723948,0.722838,0.723935,0.722662,0.721664,0.727208,0.72231,0.726615,0.72131,0.723342,0.0191669,0.724917,0.72545,0.0340818,0.031922,0.0341897,0.0323876,0.724271,0.0340282,0.0341686,0.0339221,0.0342338,0.0334091,0.0322689,0.0342126,0.0354178,0.72481,0.0332036,0.729638,0.718214,0.730726,0.735435,0.725087,0.719287,0.718363,0.733344,0.0353549,0.719221,0.0379545,0.0365805,0.715832,0.0343982,0.734569,0.734021,0.718514,0.03437,0.734823,0.730417,0.73528,0.735285,0.734619,0.734221,0.734335,0.731523,0.731271,0.0358237,0.733958,0.730175,0.718202,0.72957,0.720866,0.732779,0.735094,0.734906,0.733879,0.721834,0.0343491,0.734888,0.73408,0.734198,0.0348604,0.720251,0.736909,0.721632,0.724048,0.73049,0.73455,0.735968,0.0338635,0.684034,0.732799,0.735895,0.729776,0.732223,0.73259,0.731331,0.733301,0.7344,0.725382,0.733226,0.724685,0.718801,0.72445,0.72152,0.722784,0.723782,0.723105,0.719675,0.719692,0.72202,0.732723,0.731203,0.735496,0.734799,0.731931,0.732321,0.731874,0.732094,0.733376,0.724171,0.732209,0.718439,0.725394,0.0337874,0.723839,0.724533,0.0340342,0.0325707,0.0376279,0.0327253,0.0329337,0.717727,0.726936,0.0345852,0.0321014,0.0351483,0.031922,0.723609,0.0340113,0.0350723,0.730321,0.034802,0.724824,0.723369,0.732111,0.722319,0.717767,0.0349124,0.0451107,0.0349646,0.0331492,0.0342429,0.732233,0.725923,0.034573
105,0.0346104,0.03612,0.710771,0.0353965,0.712958,0,0.711331,0.0355946,0.710359,0.033002,0.290988,0.288692,0.0382217,0.712136,0.0332008,0.0353023,0.292818,0.289439,0.2903,0.0330661,0.714832,0.292325,0.289396,0.0357071,0.0342706,0.0348189,0.0322387,0.0347201,0.0344516,0.714344,0.711352,0.709921,0.0351273,0.71382,0.709064,0.713013,0.711726,0.292659,0.0330031,0.290118,0.291594,0.292652,0.0329753,0.0327918,0.28931,0.291138,0.0350273,0.0345104,0.0337892,0.0338772,0.0353454,0.0333333,0.0345255,0.0336038,0.0348536,0.0347713,0.0338516,0.0360902,0.0345433,0.0340841,0.032649,0.0339621,0.70669,0.032437,0.0349404,0.714216,0.711319,0.712084,0.710778,0.0338068,0.711131,0.71171,0.712399,0.712555,0.711345,0.713706,0.7132,0.710873,0.0326935,0.71289,0.291218,0.0359777,0.291827,0.293298,0.0337331,0.033618,0.0361153,0.290527,0.713243,0.0368379,0.710531,0.710034,0.160866,0.708502,0.291164,0.291081,0.0328604,0.711162,0.291147,0.290018,0.291748,0.291761,0.289956,0.288735,0.291368,0.291179,0.2895,0.709688,0.290572,0.290858,0.0363853,0.291637,0.033879,0.288968,0.291581,0.291052,0.29046,0.03675,0.710801,0.290003,0.292275,0.288996,0.711118,0.036761,0.289468,0.0363426,0.0357858,0.291417,0.29028,0.289078,0.712919,0.304262,0.292467,0.201001,0.289844,0.292263,0.294291,0.29162,0.291722,0.292583,0.0335201,0.291747,0.0342849,0.0338958,0.0347878,0.0348234,0.0346031,0.0361163,0.0339767,0.0337056,0.0341378,0.0318136,0.288469,0.291084,0.292541,0.29314,0.290675,0.290718,0.291233,0.29182,0.293424,0.0356107,0.291156,0.0370147,0.0321985,0.714099,0.0355931,0.033923,0.710832,0.711366,0.708102,0.714332,0.711623,0.03453,0.0351176,0.711796,0.713425,0.713001,0.713343,0.0338414,0.712163,0.712457,0.292819,0.708977,0.0362319,0.0325591,0.290936,0.0329913,0.0343878,0.710002,0.700843,0.709421,0.708479,0.711167,0.288661,0.0350701,0.712146
106,0.721587,0.717083,0.0331995,0.720134,0.0327891,0.711331,0,0.717427,0.0320401,0.717656,0.732376,0.73251,0.713675,0.0328965,0.717635,0.714309,0.730819,0.732786,0.731597,0.723244,0.0357095,0.732921,0.734504,0.722575,0.722046,0.723616,0.723493,0.72321,0.724972,0.03383,0.0329179,0.034835,0.722477,0.0336486,0.0324824,0.0335139,0.0343019,0.732381,0.716026,0.731609,0.733713,0.732427,0.721612,0.71987,0.731576,0.731982,0.715102,0.720539,0.724419,0.724602,0.723142,0.722301,0.722809,0.720378,0.721845,0.721729,0.720269,0.725781,0.720264,0.724016,0.719863,0.721471,0.0190707,0.722879,0.724722,0.0348118,0.033069,0.0332527,0.0313423,0.72224,0.0336913,0.032334,0.034904,0.0357718,0.0326657,0.031746,0.0337267,0.0335304,0.723996,0.0339689,0.729898,0.71701,0.731228,0.734796,0.724141,0.716805,0.716699,0.732451,0.0364821,0.717614,0.0344113,0.0362085,0.714236,0.031837,0.732876,0.733879,0.716589,0.0316557,0.733142,0.730881,0.734034,0.734886,0.733205,0.733136,0.734146,0.730376,0.731495,0.0350161,0.732871,0.729876,0.716786,0.729511,0.719145,0.732387,0.734107,0.73353,0.732339,0.719707,0.0322365,0.73407,0.73311,0.73369,0.0324675,0.718246,0.735824,0.719476,0.721975,0.730047,0.733577,0.735003,0.0343588,0.682154,0.732713,0.735196,0.729719,0.732571,0.732407,0.730602,0.732169,0.733844,0.723458,0.732693,0.721634,0.716743,0.722721,0.719601,0.721739,0.72202,0.721417,0.717911,0.717526,0.72034,0.73176,0.730887,0.735158,0.734556,0.731807,0.731147,0.731474,0.731495,0.733016,0.721492,0.731741,0.716604,0.723626,0.0360518,0.723062,0.722512,0.0356612,0.0309049,0.0365655,0.0331139,0.0322407,0.716283,0.724399,0.0355402,0.0320054,0.0334873,0.0329966,0.721676,0.0334098,0.035627,0.729464,0.0351531,0.723084,0.721643,0.731037,0.720324,0.715782,0.0320522,0.0455298,0.0347506,0.0338995,0.0316763,0.7323,0.724705,0.0338675
107,0.0317059,0.0337878,0.717645,0.0323107,0.719621,0.0355946,0.717427,0,0.716356,0.0320563,0.286502,0.285177,0.0356823,0.717865,0.0314131,0.0324829,0.288749,0.285292,0.287135,0.0315517,0.720636,0.287153,0.28501,0.0338013,0.0316845,0.0335309,0.0331751,0.032175,0.0318681,0.721239,0.717203,0.71556,0.0342513,0.720233,0.715101,0.719196,0.717444,0.288185,0.0317986,0.285099,0.287711,0.287023,0.0337331,0.0314325,0.28528,0.285155,0.0321009,0.0319233,0.031188,0.0325035,0.0319952,0.0329454,0.0310437,0.0330648,0.0316299,0.0330534,0.0304084,0.0323791,0.0331442,0.0297837,0.0309181,0.032834,0.711905,0.0308219,0.0318823,0.720354,0.717747,0.718466,0.717247,0.0311723,0.716964,0.718013,0.718856,0.719276,0.717742,0.720588,0.719223,0.717563,0.0313957,0.718372,0.287418,0.0324688,0.287965,0.288651,0.032708,0.0325295,0.0320716,0.28458,0.720251,0.0332938,0.716056,0.716849,0.159475,0.715496,0.286548,0.286633,0.0306889,0.717855,0.287629,0.286558,0.286774,0.287851,0.285276,0.285231,0.287215,0.286864,0.285312,0.716512,0.285809,0.285793,0.0339801,0.287768,0.0327691,0.284099,0.287288,0.286383,0.286055,0.033231,0.717314,0.285605,0.287983,0.285336,0.717843,0.0329659,0.28506,0.0331106,0.03243,0.28747,0.28630100000000003,0.286135,0.719164,0.301051,0.288341,0.200517,0.285554,0.287532,0.290239,0.287332,0.287231,0.288495,0.0335182,0.288384,0.0329006,0.0336323,0.0311236,0.0331944,0.0316249,0.0344257,0.0329285,0.0303832,0.0313561,0.0305036,0.284089,0.287309,0.288086,0.288839,0.286698,0.286794,0.287551,0.285961,0.28821600000000003,0.032234,0.286727,0.0329039,0.0330926,0.720591,0.033218,0.0321728,0.716805,0.716718,0.714088,0.720103,0.71743,0.0331149,0.0347098,0.718684,0.719075,0.718608,0.71951,0.0310886,0.718451,0.718556,0.286705,0.714754,0.032684,0.0335114,0.285117,0.031825,0.0318394,0.717117,0.705523,0.715452,0.715219,0.717794,0.284601,0.0330053,0.717793
108,0.720073,0.715791,0.0339773,0.717861,0.0297878,0.710359,0.0320401,0.716356,0,0.715129,0.729314,0.729938,0.712054,0.0323592,0.716397,0.714077,0.727214,0.730598,0.728357,0.720793,0.0351672,0.730672,0.731543,0.721072,0.721007,0.721603,0.722945,0.721818,0.722654,0.0343859,0.0319192,0.0329196,0.7216,0.0320892,0.0312458,0.0312838,0.0316524,0.729944,0.713576,0.729143,0.730794,0.729474,0.720215,0.71875,0.72898,0.729728,0.714112,0.719868,0.723666,0.723182,0.722187,0.720726,0.721315,0.719314,0.720757,0.719883,0.719018,0.724021,0.718928,0.722692,0.718978,0.720458,0.0175373,0.721235,0.722812,0.0333601,0.0312249,0.0331281,0.0307857,0.721296,0.0332931,0.0325187,0.0326566,0.0335203,0.0327134,0.0326495,0.0336981,0.0344389,0.722441,0.0344089,0.72615,0.715064,0.72736,0.731859,0.721863,0.715521,0.714785,0.729491,0.0345496,0.715986,0.0356574,0.0353982,0.712579,0.0339118,0.730708,0.730684,0.714584,0.0311504,0.73111,0.727484,0.732061,0.731978,0.730751,0.730156,0.731752,0.727794,0.728436,0.0348976,0.730513,0.727192,0.714829,0.726275,0.71689,0.729552,0.731556,0.731148,0.730311,0.7184,0.0336839,0.731763,0.730238,0.730555,0.0324476,0.716897,0.733344,0.717924,0.720674,0.727273,0.730994,0.731802,0.03317,0.681129,0.729938,0.732389,0.7261,0.728976,0.729441,0.727922,0.729832,0.730899,0.722248,0.730027,0.720938,0.715353,0.721265,0.718504,0.720044,0.719462,0.719956,0.715898,0.71551,0.718434,0.72925,0.727873,0.732822,0.731103,0.729053,0.728098,0.728496,0.7287,0.731023,0.720857,0.72906,0.715158,0.722056,0.0342807,0.72108,0.721275,0.03133,0.032998,0.035993,0.0331547,0.0335801,0.713945,0.722904,0.0350404,0.0314309,0.0339373,0.0318664,0.720813,0.0323036,0.0350426,0.726507,0.0348994,0.722125,0.720147,0.728373,0.719539,0.714391,0.0335928,0.0438066,0.0329708,0.0345613,0.0335891,0.728838,0.722518,0.0325999
